"notation","title","description","id"
"1","Schriftliche Prüfungsaufgabe","""""Aus Korrektur und Bewertung der schriftlichen Arbeit soll hervorgehen, wie die Ausführungen in Bezug auf die beschriebene erwartete Leistung einzuordnen sind. Lösungen, die im Erwartungshorizont nicht erfasst sind, aber im Sinne der Aufgabenstellung gleichwertige Lösungen bzw. Lösungswege darstellen, sind gleichberechtigt zu werten.\n\nFür die Bewertung der Prüfungsleistungen sind sowohl die rein formale Lösung als auch das zum Ausdruck gebrachte naturwissenschaftliche Verständnis maßgebend. Daher sind erläuternde, kommentierende und begründende Texte unverzichtbare Bestandteile der Prüfungsleistung. Dies gilt auch für die Dokumentation im Falle des Einsatzes digitaler Werkzeuge. Mangelhafte Gliederung, Fehler in der Fachsprache, Ungenauigkeiten in Zeichnungen oder unzureichende oder falsche Bezüge zwischen Zeichnungen und Text sind als fachliche Fehler zu werten.\n\nFür die Bewertung kommt den folgenden Kriterien besonderes Gewicht zu:""""",,
"1.1","Umfang und Qualität der nachgewiesenen fachspezifischen Kompetenzen,",,
"1.2","Verständnis für fachspezifische Probleme sowie die Fähigkeit, Zusammenhänge zu erkennen, darzustellen und Sachverhalte zu beurteilen,",,
"1.3","Eigenständigkeit der Auseinandersetzung mit Sachverhalten und Problemstellungen, Reflexionsfähigkeit und Kreativität der Lösungsansätze,",,
"1.4","Sicherheit im Umgang mit Fachsprache und mit Fachmethoden,",,
"1.5","Schlüssigkeit der Argumentation, Verständlichkeit und Qualität der Darstellung (Gedankenführung, Klarheit in Aufbau und Sprache, fachsprachlicher Ausdruck).",,
"2","Mündliche Prüfungaufgabe","In Abhängigkeit von der Aufgabenstellung kommt darüber hinaus folgenden Aspekten besonderes Gewicht zu:",
"2.1","adäquate Präsentation der Ergebnisse für die gestellte Aufgabe in einem strukturierten, prägnanten, anhand von Aufzeichnungen frei gehaltenen Kurzvortrag,",,
"2.2","Erfassen von Fachfragen und Führung eines themengebundenen Gesprächs,",,
"2.3","Grad der Flexibilität und Beweglichkeit im Umgang mit unterschiedlichen Inhaltsbereichen und Basiskonzepten,",,
"2.4","Nachweis eigenständiger sach- und problemgerechter Bewertungskompetenz,",,
"2.5","Einordnung in größere fachliche und ggf. überfachliche Zusammenhänge,",,
"2.6","Verwendung einer präzisen, differenzierten, stilistisch angemessenen, adressaten- und normengerechten Ausdrucksweise unter adäquater Berücksichtigung der Fachsprache,",,
"2.7","Klarheit und Verständlichkeit der Darstellung.",,
